mentee,slot,day,month,year,booked
null,A,30,4,2025,0
null,B,30,4,2025,0
abc,B,30,4,2025,1
null,C,30,4,2025,0
null,A,1,5,2025,0
null,B,1,5,2025,0
kat,B,1,5,2025,1
abc,C,1,5,2025,1
null,C,1,5,2025,0
null,A,2,5,2025,0
null,B,2,5,2025,0
null,C,2,5,2025,0
null,A,3,5,2025,0
null,B,3,5,2025,0
null,C,3,5,2025,0
null,A,4,5,2025,0
null,B,4,5,2025,0
abc,B,4,5,2025,1
null,C,4,5,2025,0
null,A,5,5,2025,0
null,B,5,5,2025,0
abc,C,5,5,2025,1
null,C,5,5,2025,0
null,A,6,5,2025,0
a,A,8,5,2025,1
null,A,8,5,2025,0
null,B,16,5,2025,0
